food_type,temperature,humidity,days_stored,packaging,risk
Milk,4,60,2,Sealed,Low
Milk,8,70,5,Open,High
Milk,6,65,3,Sealed,Medium
Chicken,4,70,2,Sealed,Low
Chicken,8,75,4,Sealed,Medium
Chicken,10,80,5,Open,High
Tomato,20,60,3,Open,Low
Tomato,25,70,6,Open,High
Tomato,22,65,5,Sealed,Medium
Apple,5,55,4,Sealed,Low
Apple,10,65,7,Open,Medium
Apple,15,75,10,Open,High
Bread,20,50,2,Sealed,Low
Bread,25,65,5,Open,Medium
Bread,30,75,8,Open,High
Fish,2,70,1,Sealed,Low
Fish,5,75,2,Sealed,Medium
Fish,8,80,3,Open,High
